,Place
conf/percom/2014,"Budapest, Hungary"
conf/w4a/2012,"Lyon, France"
conf/opodis/2005,"Pisa, Italy"
conf/approx/2005,"Berkeley, CA, USA"
conf/iui/1997,"Orlando, Florida, USA"
conf/ppopp/2015,"San Francisco, CA, USA"
conf/icaisc/2013-2,None
conf/avi/2008,"Napoli, Italy"
conf/vamos/2011,"Namur, Belgium"
conf/ants/2008,"Banff, Canada"
conf/cg/2008,"Beijing, China"
conf/sdb/1995,None
conf/host/2011,"San Diego, CA, USA"
conf/mss/2015,None
conf/alenex/2014,"Portland, Oregon, USA"
conf/dbpl/2009,"Lyon, France"
conf/sss/2003,"San Francisco, CA, USA"
conf/sigcomm/2013fhmn,"Hong Kong, China"
conf/cpm/2006,"Barcelona, Spain"
conf/ma/2001,"Atlanta, Georgia, USA"
conf/waw/2004,"Rome, Italy"
conf/focs/FOCS32,None
conf/assets/2011,"Dundee, Scotland, UK"
conf/its/2004,"Maceiò, Alagoas, Brazil"
conf/esa/2010-1,None
conf/itp/2014,"Vienna, Austria"
conf/sigopsE/2004,"Leuven, Belgium"
conf/fsttcs/2002,"Kanpur, India"
conf/indocrypt/2014,"New Delhi, India"
conf/infovis/2002,"Boston, MA, USA"
conf/cardis/2006,"Tarragona, Spain"
conf/ercimdl/2003,None
conf/ppdp/2012,"Leuven, Belgium"
conf/icics/2004,"Malaga, Spain"
conf/acmidc/2010,None
conf/miccai/2004-1,None
conf/acmidc/2011,None
conf/icac/2011,"Karlsruhe, Germany"
conf/ices/1996,"Tsukuba, Japan"
conf/forte/2006,"Paris, France"
conf/ecml/1997,None
conf/nossdav/2013,"Oslo, Norway"
conf/host/2014,"Arlington, VA, USA"
conf/rta/2008,"Hagenberg, Austria"
conf/icse/2006sess,"Shanghai, China"
conf/kramas/2008,"Sydney, Australia"
conf/sagt/2010,"Athens, Greece"
conf/ics/1999,"Rhodes, Greece"
conf/icsm/2014,None
conf/inex/2007,"Dagstuhl, Germany"
conf/icst/2013,Luxembourg
conf/enter/2012,"Helsingborg, Sweden"
conf/esws/2010-2,None
conf/icsoc/2008,"Sydney, Australia"
conf/atal/2008coin,None
conf/asplos/2017,"Xi'an, China"
conf/sigmetrics/2002,"Marina del Rey, California, USA"
conf/cvpr/2000,"Hilton Head, SC, USA"
conf/gd/2006,"Karlsruhe, Germany"
conf/jcdl/2010,"Gold Coast, Queensland, Australia"
conf/icdm/2014,"Shenzhen, China"
conf/raid/2015,"Kyoto, Japan"
conf/vare/2013,"Puerto de La Cruz, Tenerife, Canary Islands, Spain"
conf/csfw/2015gramsec,None
conf/esa/2011,"Saarbrücken, Germany"
conf/ecows/2007,"Halle (Saale), Germany"
conf/qcqc/1998,"Palm Springs, California, USA"
conf/fdg/2010,"Pacific Grove, CA, USA"
conf/ewsdn/2013,"Berlin, Germany"
conf/cade/1986,None
conf/iwmm/95,None
conf/alt/2005,Singapore
conf/iwpc/2008,None
conf/loca/2006,"Dublin, Ireland"
conf/atva/2005,"Taipei, Taiwan"
conf/dimacs/dimacs71,None
conf/oopsla/2014onward,"Portland, OR, USA"
conf/ssbse/2014,"Fortaleza, Brazil"
conf/icra/2007,"Roma, Italy"
conf/socialcom/2011,"Boston, MA, USA"
conf/msr/2016,"Austin, TX, USA"
conf/apn/1992,None
conf/lpar/2013,"Stellenbosch, South Africa"
conf/asplos/2013gpgpu,"Houston, TX, USA"
conf/coordination/1996,"Cesena, Italy"
conf/acri/2002,"Geneva, Switzerland"
conf/dsom/2002,"Montreal, Canada"
conf/icics/2007,"Zhengzhou, China"
conf/lpar/2005,"Montego Bay, Jamaica"
conf/dppi/2013,"Newcastle upon Tyne, UK"
conf/coopis/2002,"Irvine, California, USA"
conf/fm/1997,None
conf/icba/2004,"Hong Kong, China"
conf/welcom/2001,"Heidelberg, Germany"
conf/hybrid/2009,None
conf/ecoop/2012ftfjp,"Beijing, China"
conf/evaal/2011,"Valencia, Spain / Lecce, Italy"
conf/dls/2010,"Reno, Nevada, USA"
conf/tlca/1997,None
conf/sacmat/2010,"Pittsburgh, Pennsylvania, USA"
conf/eurogp/2014,"Granada, Spain"
conf/gpce/2010fosd,"Eindhoven, The Netherlands"
conf/wise/2005-w,"New York, NY, USA"
conf/conext/2013hotmiddlebox,"Santa Barbara, CA, USA"
conf/pkdd/2010-2,None
conf/rtas/2013,"Philadelphia, PA, USA"
conf/sigsoft/2010foser,None
conf/acii/2011-1,None
conf/compgeom/1996,None
conf/ics/2000,"Santa Fe, New Mexico, USA"
conf/acns/2014,"Lausanne, Switzerland"
conf/rt/1997,"St. Etienne, France"
conf/scalespace/1999,"Corfu, Greece"
conf/lics/1999,None
conf/icse/2013seams,"San Francisco, CA, USA"
conf/iccs/2003,"Dresden, Germany"
conf/iwpec/2011,None
conf/haid/2009,"Dresden, Germany"
conf/ecir/2007,"Rome, Italy"
conf/pkc/2016-2,None
conf/mir/2010,"Philadelphia, Pennsylvania, USA"
conf/gis/2008,"Irvine, California, USA"
conf/icpr/2010contests,"Istanbul, Turkey"
conf/ccs/2016plas,"Vienna, Austria"
conf/ifip2-1/1993,None
conf/apn/2006,None
conf/fpga/2002,"Monterey, CA, USA"
conf/mab/2014,"Aarhus, Denmark"
conf/pakdd/2010-2,None
conf/wifs/2012,"Costa Adeje, Tenerife, Spain"
conf/gd/2004,"New York, New York, USA"
conf/dils/2008,"Evry, France"
conf/vmcai/2002,"Venice, Italy"
conf/evoW/2012cop,None
conf/tapsoft/1997,None
conf/sensys/2013buildsys,"Roma, Italy"
conf/mrco/2005,None
conf/mmsys/2014,Singapore
conf/fosad/2010,None
conf/icail/2007,"Stanford, California, USA"
conf/compgeom/2009,"Aarhus, Denmark"
conf/ifip8-1/2007,None
conf/fsttcs/1999,None
conf/rtss/2013,"Vancouver, BC, Canada"
conf/dsn/2011,"Hong Kong, China"
conf/cf/2006,"Ischia, Italy"
conf/iui/2008,"Gran Canaria, Canary Islands, Spain"
conf/icfca/2008,"Montreal, Canada"
conf/evoW/2004cop,"Coimbra, Portugal"
conf/sum/2009,"Washington, DC, USA"
conf/podc/2009,"Calgary, Alberta, Canada"
conf/icws/2009,"Los Angeles, CA, USA"
conf/enter/2009,"Amsterdam, The Netherlands"
conf/otm/2011-1,None
conf/simutools/2009,"Rome, Italy"
conf/infovis/1999,"San Francisco, California, USA"
conf/promas/2007,"Honolulu, HI, USA"
conf/widm/2002,"McLean, Virginia, USA"
conf/sle/2014,"Västerås, Sweden"
conf/pam/2011,"Atlanta, GA, USA"
conf/bpm/2008w,"Milan, Italy"
conf/tapsoft/1989-2,None
conf/ppsn/2012-1,None
conf/icalp/2012-2,None
conf/ispec/2008,"Sydney, Australia"
conf/icra/2011,"Shanghai, China"
conf/cloudcom/2011,"Athens, Greece"
conf/ecir/2006,"London, UK"
conf/lightsec/2013,"Gebze, Turkey"
conf/rc/2013,"Victoria, BC, Canada"
conf/dils/2006,"Hinxton, UK"
conf/sc/2011works,"Seattle, WA, USA"
conf/csfw/2006,"Venice, Italy"
conf/ih/2013,None
conf/edo/2005,None
conf/cp/2003,"Kinsale, Ireland"
conf/csl/2008,"Bertinoro, Italy"
conf/splc/2010,"Jeju Island, South Korea"
conf/fossacs/2012,"Tallinn, Estonia (Part of ETAPS 2012)"
conf/issta/1994,None
conf/wdag/1989,None
conf/csl/1992,None
conf/re/2002,"Essen, Germany"
conf/raid/2016,"Paris, France"
conf/caise/2012,"Gdańsk, Poland"
conf/wads/2001,"Providence, RI, USA"
conf/wosp/2007,"Buenes Aires, Argentina"
conf/ictd/2013-1,None
conf/spire/2007,"Santiago, Chile"
conf/lak/2016,"Edinburgh, UK"
conf/wcre/2012,"Kingston, ON, Canada"
conf/miccai/2017sashimi,None
conf/rtas/2010,"Stockholm, Sweden"
conf/concur/2014,"Rome, Italy"
conf/sigir/2016,"Pisa, Italy"
conf/tphol/1998,None
conf/scalespace/2003,"Isle of Skye, UK"
conf/eccv/2012w1,None
conf/storagess/2005,"Fairfax, VA, USA"
conf/dimacs/dimacs55,None
conf/fmics/2007,"Berlin, Germany"
conf/clef/2012,"Rome, Italy"
conf/icalp/1995,None
conf/usab/2009,"Linz, Austria"
conf/tableaux/1995,None
conf/nfm/2015,"Pasadena, CA, USA"
conf/sma/1997,None
conf/hybrid/2013,None
conf/miccai/2006-2,None
conf/infocom/2014,"Toronto, Canada"
conf/bmcv/2002,"Tübingen, Germany"
conf/rsctc/2004,"Uppsala, Sweden"
conf/icra/2009,"Kobe, Japan"
conf/iwmm/2015,None
conf/apn/1985,"Espoo, Finland"
conf/sensys/2015iotapp,"Seoul, South Korea"
conf/beliv/2010,"Atlanta, GA, , USA"
conf/cas/2010,"Avignon, France"
conf/hybrid/2011,None
conf/gpce/2013fosd,"Indianapolis, IN, USA"
conf/ppsn/2010-1,None
conf/fase/2006,"Vienna, Austria (Part of ETAPS 2006)"
conf/dppi/2007,"Helsinki, Finland"
conf/iwqos/2008,"Enskede, The Netherlands"
conf/elp/1989,None
conf/stacs/1990,None
conf/cpaior/2012,"Nantes, France"
conf/fmcad/2006,"San Jose, California, USA"
conf/pldi/2007plas,"San Diego, California, USA"
conf/ifm/2007,"Oxford, UK"
conf/ipps/2012,None
conf/esorics/2015-1,None
conf/ifip11-10/2007,None
conf/tapsoft/1995,None
conf/caise/1999,None
conf/ndss/1996,"San Diego, California, USA"
conf/swb/2011geo,None
conf/css/2011,"Milan, Italy"
conf/tear/2010,"Delft, The Netherlands"
conf/sigsoft/2014sse,None
conf/sc/2009works,"Portland, Oregon, USA"
conf/civr/2004,"Dublin, Ireland"
conf/mmsys/2010,"Phoenix, Arizona, USA"
conf/gis/99,"Phoenix, Arizona, USA"
conf/dimacs/dimacs7,None
conf/dolap/2013,"San Francisco, CA, USA"
conf/icre/1996,"Colorado Springs, Colorado, USA"
conf/iccp/2011,"Pittsburgh, PA, USA"
conf/vrml/2002,"Tempe, Arizona, USA"
conf/coordination/2004,"Pisa, Italy"
conf/interact/2011-3,None
conf/iwpc/2013,None
conf/ccs/2007asia,"Alexandria, VA, USA"
conf/csmr/2013,"Genova, Italy"
conf/sigmod/2011dbtest,"Athens, Greece"
conf/sigsoft/2015sse,None
conf/wrla/2010,"Paphos, Cyprus (Satellite Event of ETAPS 2010)"
conf/icse/2008sess,"Leipzig, Germany"
conf/sp/1989,"Oakland, California, USA"
conf/tableaux/2000,"St Andrews, Scotland, UK"
conf/cocos/2002,"Valbonne-Sophia Antipolis, France"
conf/aplas/2013,"Melbourne, Victoria, Australia"
conf/africacrypt/2013,"Cairo, Egypt"
conf/scalespace/2005,"Hofgeismar, Germany"
conf/sigcomm/1992,"Baltimore, Maryland, USA"
conf/haskell/2015,"Vancouver, BC, Canada"
conf/icfp/2014wgp,"Gothenburg, Sweden"
conf/csl/2000,"Fischbachau, Germany"
conf/rweb/2014,"Athens, Greece"
conf/networking/2011-1,None
conf/netgames/2003,"Redwood City, California, USA"
conf/tei/2012,"Kingston, Ontario, Canada"
conf/pkdd/2012-2,None
conf/its/2008,"Montreal, Canada"
conf/eps/1997,None
conf/sc/1991,"Albuquerque, NM, USA"
conf/esem/2013,"Baltimore, Maryland, USA"
conf/ewsa/2006,"Nantes, France"
conf/sigir/2014erd,"Gold Coast, QLD, Australia"
conf/ifip1-7/2009,None
conf/maamaw/1992,"S. Martino al Cimino, Italy"
conf/wg/2001,"Boltenhagen, Germany"
conf/mum/2011,"Beijing, China"
conf/mfps/2005,None
conf/iccvw/2011,"Barcelona, Spain"
conf/spin/2012,"Oxford, UK"
conf/voteid/2015,"Bern, Switzerland"
conf/mcs/2003,"Guilford, UK"
conf/mobide/2012,"Scottsdale, AZ, USA"
conf/dac/2015,"San Francisco, CA, USA"
conf/sigcomm/2010apsys,"New Delhi, India"
conf/dsn/2012,"Boston, MA, USA"
conf/iccvw/2013,"Sydney, Australia"
conf/dagm/2005,"Vienna, Austria"
conf/mindtrek/2012,"Tampere, Finland"
conf/islped/1998,"Monterey, California, USA"
conf/kbse/2014,None
conf/storytelling/2007,"Saint-Malo, France"
journals/corr/abs-1208-3151,None
conf/cases/2003,"San Jose, California, USA"
conf/focs/1999,None
conf/group/1997,"Phoenix, Arizona, USA"
conf/digitalCities/2000,None
conf/icaisc/2013-1,None
conf/stacs/2004,"Montpellier, France"
conf/uist/1992,"Monteray, CA, USA"
conf/sigecom/2003,"San Diego, California, USA"
conf/wabi/2005,"Mallorca, Spain"
conf/dsn/2014,"Atlanta, GA, USA"
conf/dl/97,"Atlanta, GA, USA"
conf/ht/2010,"Toronto, Ontario, Canada"
conf/amec/1999,None
conf/icnp/2001,None
conf/geos/2009,None
conf/bpm/2012k,None
conf/compgeom/2006,None
conf/isca/2003,None
conf/mpc/2006,None
conf/wabi/2004,None
conf/epia/1999,None
conf/evoW/2001,None
conf/dsai/2013,None
conf/asiacrypt/2017-1,None
conf/cans/2005,None
conf/discipl/2000,None
conf/context/2005,None
conf/rss/2014,None
conf/jit/2002node,None
conf/ae/2001,None
conf/candc/2002,None
conf/lpar/1992,None
conf/iwpse/2010,None
conf/eurogp/2009,None
conf/podc/2012,None
conf/asiacrypt/1991,None
conf/compgeom/2001,None
conf/apvis/2012,None
conf/alenex/2011,None
conf/dimacs/dimacs5,None
conf/tabletop/2013,None
conf/iata/1998,None
conf/tacas/2017-1,None
conf/hworkload/2017,None
conf/latin/2002,None
conf/codes/2002,None
conf/hpca/2017,None
conf/wdag/2013,None
conf/islped/1999,None
conf/grid/2007,None
conf/uist/1990,None
conf/sgai/2009,None
conf/latincrypt/2015,None
conf/cpp/2015,None
conf/block/1997,None
conf/fmoods/2005,None
conf/fmics/2009,None
conf/issre/2006,None
conf/issre/2010,None
conf/soco/2006,None
conf/flops/2014,None
conf/icmi/2012,None
conf/iva/2001,None
conf/tableaux/2009,None
conf/csl/2003,None
conf/mm/2015,None
conf/icsnw/2004,None
conf/ruleml/2010,None
conf/spatialCognition/2010,None
conf/iswc/2014,None
conf/itp/2015,None
conf/iclp/2001,None
conf/mkm/2007,None
conf/pods/85,None
conf/si3d/1990,None
conf/jcdkb/1988,None
conf/sswmc/2001,None
conf/etrics/2006,None
conf/semweb/2014-2,None
conf/hpca/1999,None
conf/lak/2015,None
conf/sensys/2013,None
conf/kbse/2003,None
conf/ercimdl/2002,None
conf/cp/2005,None
conf/sigmetrics/2014,None
conf/sswmc/2002,None
conf/dac/2000,None
conf/tei/2010,None
conf/percom/2007w,None
conf/icmi/2005,None
conf/erlang/2008,None
conf/fis/2010,None
conf/lfp/1992,None
conf/haid/2007,None
conf/haskell/2014,None
conf/foiks/2004,None
conf/esop/1994,None
conf/parle/1987-1,None
conf/ccs/2006fmse,None
conf/worm/2005,None
conf/waw/2010,None
journals/corr/CamaraP15,None
conf/post/2013,None
conf/ccgrid/2011,None
conf/vr/1993,None
conf/oopsla/1996,None
conf/cikm/2010clouddb,None
conf/simpda/2012,None
journals/corr/BenzmullerP14,None
conf/agere/2014,None
conf/ifip8-1/2012,None
conf/icer/2012,None
conf/damon/2008,None
conf/rc/2011,None
conf/interact/2011-2,None
conf/ida/2009ida,None
conf/iwomp/2012,None
conf/epart/2010,None
conf/kdd/2005web,None
conf/wisec/2014,None
conf/tosca/2011,None
conf/lso/2002,None
conf/sc/2014datacloud,None
conf/wae/1999,None
conf/essos/2011,None
conf/rta/1996,None
conf/eenergy/2011,None
conf/flops/2008,None
conf/xmlsec/2002,None
conf/mobisys/2011hotplanet,None
conf/dna/2015,None
conf/iwomp/2010,None
conf/issta/2008t,None
conf/gecon/2010,None
conf/tcc/2017-1,None
conf/cpp/2012,None
conf/isw/2000,None
conf/pakdd/2012-2,None
conf/atal/2002lncs,None
conf/wmcsa/2006s,None
conf/eurosec/2015,None
conf/icse/2009seams,None
conf/cloudi/2012,None
conf/ami/2008,None
conf/dimacs/dimacs10,None
conf/podc/2008,None
conf/fm/1993,None
conf/ictd/2007,None
conf/bcshci/2001,None
conf/rtss/2012,None
conf/birthday/2005siekmann,None
conf/pods/2015,None
conf/fqas/2002,None
conf/asunam/2011,None
conf/acisp/1999,None
conf/infocom/2012,None
conf/iccci/2009,None
conf/metrics/2002,None
conf/sigmetrics/2001,None
conf/cans/2012,None
conf/icsm/1998,None
conf/reflection/1999,None
conf/formats/2009,None
conf/iccv/2005hci,None
conf/ifip8-1/2014,None
conf/cbse/2013,None
conf/acisp/2001,None
conf/ah/2000,None
conf/aughuman/2014,None
conf/candt/2015,None
conf/lion/2009,None
conf/egov/2007,None
conf/cvpr/1991,None
conf/sigir/2008and,None
conf/atal/2005esoa,None
conf/egov/2010ifip,None
conf/icail/1995,None
conf/w4a/2010,None
conf/um/2007,None
conf/www/2012c,None
conf/foiks/2002,None
conf/ruleml/2009,None
conf/alenex/2010,None
conf/mmsys/2015,None
conf/cpaior/2013,None
conf/fsttcs/1992,None
conf/mhci/2004,None
conf/hm/2010,None
conf/lpar/2000,None
conf/ieeevast/2009,None
conf/percom/2011,None
conf/dagstuhl/2004test,None
conf/recomb/1999,None
conf/apsys/2014,None
conf/ldav/2011,None
conf/context/2007,None
conf/fmics/2010,None
conf/csl/2010,None
conf/clef/2000,None
conf/wipsce/2015,None
conf/tlca/2007,None
conf/mm/2008,None
conf/iva/2012,None
conf/tabletop/2011,None
conf/paste/2004,None
conf/cc/2012,None
conf/sosp/2013hotpower,None
conf/ac/1996dppm,None
conf/dagm/2008,None
conf/semweb/2016-1,None
conf/iui/2006,None
conf/cvpr/2003,None
conf/sde/1988,None
conf/ciac/2000,None
conf/mm/1994,None
conf/tes/2004,None
conf/sc/2007pdsw,None
conf/cooppn/2001,None
conf/nossdav/2015,None
conf/gfkl/2007,None
conf/stacs/2007,None
conf/cidm/2009,None
conf/recomb/2005,None
conf/dils/2005,None
conf/sigmetrics/1994,None
conf/edoc/2008,None
conf/asiacrypt/2017-2,None
conf/ecscw/2009,None
conf/frocos/2009,None
conf/podc/2010,None
conf/spire/2005,None
conf/evoW/2011cop,None
conf/egov/2008,None
conf/cia/2004,None
conf/icalp/1994,None
conf/rv/2013,None
conf/sigcomm/2010homenets,None
conf/sum/2007,None
conf/istcs/1995,None
conf/ride/99,None
conf/tldi/2009,None
conf/icmi/2009,None
conf/ssbse/2011,None
conf/cost/2011s,None
conf/pakdd/2009,None
conf/mum/2009,None
conf/iccs/1997,None
conf/sensys/2011,None
conf/tei/2015,None
conf/ht/2012,None
conf/gd/2003,None
conf/waifi/2010,None
conf/popl/2005wits,None
conf/ccs/2003fmse,None
conf/fase/2003,None
conf/spaa/1990,None
conf/fosad/2013,None
conf/gecon/2007,None
conf/stast/2011,None
conf/oopsla/2012races,None
conf/um/2001,None
conf/dimacs/dimacs57,None
conf/membrane/2007,None
conf/rsctc/1998,None
conf/mmmacns/2012,None
conf/mobicom/2007wuwnet,None
conf/coordination/2013,None
conf/sat/2013,None
conf/dbsec/2008,None
conf/ica3pp/2010-1,None
conf/middleware/2006mw4soc,None
conf/ccs/2012ccsw,None
conf/birthday/2002kowalski1,None
conf/mesoca/2012,None
conf/colt/2006,None
conf/tpctc/2010,None
conf/wg/2005,None
conf/ctrs/1987,None
conf/icgi/2000,None
conf/eewc/2011,None
conf/sigsoft/2007soswe,None
conf/icec/1994,None
conf/um/2014,None
conf/socinfo/2014,None
conf/iccbss/2002,None
conf/bonnco/2008,None
conf/mfcs/2010,None
conf/bmvc/2004,None
conf/esem/2010,None
conf/icalp/2013-2,None
conf/cc/2005,None
conf/ewsn/2007,None
conf/icfca/2005,None
conf/fossacs/2014,None
conf/cp/2012,None
conf/sc/2014waccpd,None
conf/icdcs/2012,None
conf/mm/2009cea,None
conf/ah/2004,None
conf/miccai/2007-2,None
conf/its/2002,None
conf/miccai/2011-3,None
conf/wisa/2009,None
conf/scia/2011,None
conf/icse/1997,None
conf/ifip8-1/2011,None
conf/debs/2007,None
conf/birthday/2003manna,None
conf/icsoc/2013,None
conf/pakdd/2010-1,None
conf/dimacs/dimacs32,None
conf/icalp/2013-1,None
conf/esem/2011,None
conf/icics/2010,None
conf/ewspt/2001,None
conf/provsec/2008,None
conf/mhci/2016,None
conf/sagt/2009,None
conf/uxtv/2008,None
conf/cvpr/2008w,None
conf/gis/2007,None
conf/birthday/1987rodding,None
conf/tap/2009,None
conf/paste/2010,None
conf/echt/94,None
conf/sigcomm/2015hotmiddlebox,None
conf/middleware/2005mpac,None
conf/caise/2010eomas,None
conf/ihis/2005,None
conf/wistp/2009,None
conf/pldi/2013soap,None
conf/sc/2013scala,None
conf/hvei/1998,None
conf/eics/2012,None
conf/nocs/2009,None
conf/coco/1988,None
conf/esa/1999,None
conf/vrml/2006,None
conf/vee/2015,None
conf/ifip8-1/2010,None
conf/wmcsa/2003,None
conf/evoW/2010a1,None
conf/gd/2005,None
conf/icics/2008,None
conf/evoW/2007bio,None
conf/coopis/1999,None
conf/pldi/2006plas,None
conf/worm/2006,None
conf/icail/1997,None
conf/aplas/2012,None
conf/zum/1989,None
conf/iccs/2006,None
conf/compass/1991,None
conf/wg/1999,None
conf/ispass/2015,None
conf/wadt/2002,None
conf/wea/2009,None
conf/crowncom/2006,None
conf/plilp/1998,None
conf/wdag/1998,None
conf/iscope/1997,None
conf/wg/2002,None
conf/mum/2004,None
conf/esa/2012,None
conf/ac/1987sr,None
conf/ecrts/2007,None
conf/uist/2017,None
conf/pret/2012,None
conf/iva/2008,None
journals/corr/abs-1107-5847,None
conf/acg/2009,None
conf/fase/2016,None
conf/rsfdgrc/2005-1,None
conf/esa/2000,None
conf/ssdbm/2009,None
conf/dawak/2000,None
conf/sapir/2004,None
conf/icsm/2005,None
conf/ucc/2011,None
conf/promise/2009,None
conf/atva/2010,None
conf/sas/1997,None
conf/rta/1997,None
conf/sam/2006,None
conf/cases/2006,None
conf/law/1992,None
conf/mindtrek/2009,None
conf/emo/2011,None
conf/wbdb/2012,None
conf/wdag/2012,None
conf/sp/1986,None
conf/sc/1999,None
conf/icb/2006,None
conf/atc/2011,None
conf/isola/2012-1,None
conf/iot/2014,None
conf/dsl/2009,None
conf/codes/2011,None
conf/issta/2006rt,None
conf/wflp/2011,None
conf/emsoft/2004,None
conf/sigmetrics/2004,None
conf/jelia/2006,None
conf/spin/2013,None
conf/raid/2013,None
conf/icits/2008,None
conf/hipeac/2011,None
conf/debs/2008,None
conf/sc/1995,None
conf/socialcom/2012,None
conf/sat/2015,None
conf/icml/2006sna,None
conf/ecscw/2015,None
conf/mswim/2002,None
conf/tapsoft/1993,None
conf/icac/2009,None
conf/sefm/2011,None
conf/atal/2003autonomy,None
conf/interact/2007-1,None
conf/tapsoft/1985-1,None
conf/iciss/2009,None
conf/bis/2011,None
conf/ercimdl/1997,None
conf/securecomm/2005,None
conf/isw/2011,None
conf/IEEEpact/2015,None
conf/icdt/90,None
conf/automotiveUI/2016,None
conf/graphite/2004,None
conf/eccv/2004w,None
conf/sc/1997,None
conf/acii/2005,None
conf/icse/2009secse,None
conf/aose/2008,None
conf/ecrts/2008,None
conf/safeconfig/2010,None
conf/ssd/2009,None
journals/corr/abs-1110-4473,None
conf/sc/2015isav,None
conf/sigsoft/2007esspe,None
conf/drm/2006,None
conf/esws/2016semwebeval,None
conf/sas/2016,None
conf/saig/2001,None
conf/ismm/2009,None
conf/sirocco/2012,None
conf/adcs/2015,None
conf/icisc/2006,None
conf/emsoft/2006,None
conf/cvpr/1999,None
conf/isw/1999,None
conf/gbrpr/2003,None
conf/recomb/2010,None
conf/pfe/2001,None
conf/rsctc/2002,None
conf/vissci/1997,None
conf/foveoos/2011,None
conf/selmas/2005,None
conf/ftrtft/1996,None
conf/wowmom/2002,None
conf/hotnets/2016,None
conf/mhci/2005,None
conf/i-semantics/2014,None
conf/mobicom/2004wac,None
conf/er/2011,None
conf/dimacs/dimacs25,None
conf/tools/46-2008,None
conf/eurossc/2008,None
conf/lopstr/1996,None
conf/argmas/2009,None
conf/nspw/2002,None
conf/ifip1-7/2008,None
conf/soco/2007,None
conf/popl/2014pprew,None
conf/tapsoft/1987-2,None
conf/recomb/2014,None
conf/utp/2014,None
conf/openshmem/2014,None
conf/acisp/2012,None
conf/rss/2015,None
conf/fmcad/2014,None
conf/mm/2009,None
conf/acii/2009,None
conf/splc/2014,None
conf/wosp/2002,None
conf/mdm/2008,None
conf/fase/2011,None
conf/ceemas/2003,None
conf/iclp/2007,None
conf/lpar/1994,None
conf/wdag/1992,None
conf/plilp/1992,None
conf/dsn/2015,None
conf/ldta/2012,None
conf/ccs/2015aisec,None
conf/gpce/2012fosd,None
conf/sc/2014cohpc,None
conf/persuasive/2013,None
conf/vlsm/2005,None
conf/agiledc/2010,None
conf/oopsla/1995,None
conf/icb/2013,None
conf/miccai/2012-3,None
conf/memocode/2011,None
conf/rr/2007,None
conf/ht/2008,None
conf/iiix/2010,None
conf/vrst/2002,None
conf/w4a/2009,None
conf/iui/1993,None
conf/dagstuhl/1998change,None
conf/codaspy/2016,None
conf/hri/2011,None
conf/fase/2014,None
conf/coco/2013,None
conf/cc/2016,None
conf/icdcs/2009,None
conf/isca/1992,None
conf/selmas/2004,None
conf/tap/2012,None
conf/etvc/2008,None
conf/vee/2010,None
conf/icdm/2002,None
conf/dac/2004,None
conf/shape/1999,None
conf/bpm/2017,None
conf/cig/2009,None
conf/pkdd/2014-1,None
conf/esaw/2006,None
conf/vast/2001,None
conf/mfps/2001,None
conf/automotiveUI/2010,None
conf/dsai/2012,None
conf/aplas/2006,None
conf/compgeom/1995,None
conf/pkdd/2009-1,None
conf/www/2004at,None
conf/jelia/2010,None
conf/coopis/98,None
conf/wikis/2011,None
conf/srds/2013,None
conf/gpce/2013,None
conf/lpkr/1997,None
conf/raid/2012,None
conf/desrist/2010,None
conf/cases/2010wess,None
journals/corr/abs-1102-2268,None
conf/trust/2009,None
conf/csl/1997,None
conf/sec/2001,None
conf/cc/2015,None
conf/er/99w,None
conf/pepm/2012,None
conf/icse/2007shark,None
conf/fmics/2008,None
conf/cgo/2013,None
conf/promise/2013,None
conf/grid/2012,None
conf/oorase/1999,None
conf/ictir/2015,None
conf/middleware/2009mgc,None
conf/ssdbm/2002,None
conf/ieeevast/2007,None
conf/conext/2008,None
conf/icalp/2012-1,None
conf/icmas/2000,None
conf/recomb/2000,None
conf/socialcom/2010,None
conf/miccai/2007-1,None
conf/accv/2010-1,None
conf/caise/2011bpmds,None
conf/tvx/2015,None
conf/cbse/2005,None
conf/strict/1995,None
conf/sefm/2003,None
conf/ancs/2008,None
conf/swat/2000,None
conf/esa/2007,None
conf/caap/1988,None
conf/icst/2011,None
conf/dagstuhl/2007cocome,None
conf/eelc/2006,None
conf/coordination/1997,None
conf/ruleml/2011e,None
conf/isw/1997,None
conf/fmics/2012,None
conf/chi/2006a,None
conf/mediaforensics/2010,None
conf/widm/2003,None
conf/ancs/2007,None
conf/p2p/2009,None
conf/hpdc/2007works,None
conf/lata/2008,None
conf/mcs/2010,None
conf/semweb/2008obi,None
conf/bncod/2011,None
conf/ppdp/2001,None
conf/wdag/1995,None
conf/sigecom/2014,None
conf/rc/2012,None
conf/asian/2006,None
conf/ipmi/1993,None
conf/ki/2001,None
conf/iwpc/2014,None
conf/esorics/2015-2,None
journals/corr/ChatterjeeEJ14,None
conf/tools/50-2012,None
conf/sfm/2005,None
conf/sirocco/2005,None
conf/nocs/2010,None
conf/acsac/2002,None
conf/aose/2007,None
conf/eewc/2012,None
conf/re/2015relaw,None
conf/dolap/2010,None
conf/mfcs/2001,None
conf/concur/1994,None
conf/vr/2010,None
conf/opodis/2011,None
conf/dsn/2007,None
conf/issre/2009,None
conf/wacv/2013,None
conf/cosade/2013,None
conf/fhies/2011,None
conf/vmcai/2016,None
conf/ae/2005,None
conf/wpes/2014,None
conf/lctrts/1999,None
conf/wiser/2004,None
